County,WeekStartDate,ProbableCases,ConfirmedCases,TotalCases,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,43905,0,3,3,0,0,2,1,0,0,0,2021/05/10 12:56:27
Adams County,43912,0,13,13,0,2,5,1,5,0,0,2021/05/10 12:56:27
Adams County,43919,0,17,17,2,5,5,3,2,0,0,2021/05/10 12:56:27
Adams County,43926,0,8,8,1,2,2,2,1,0,0,2021/05/10 12:56:27
Adams County,43933,0,2,2,0,1,0,1,0,0,0,2021/05/10 12:56:27
Adams County,43940,0,4,4,0,4,0,0,0,0,0,2021/05/10 12:56:27
Adams County,43947,0,2,2,0,1,1,0,0,0,0,2021/05/10 12:56:27
Adams County,43954,0,1,1,1,0,0,0,0,0,0,2021/05/10 12:56:27
Adams County,43961,0,1,1,0,0,0,1,0,0,0,2021/05/10 12:56:27
Adams County,43968,0,6,6,0,1,4,1,0,0,0,2021/05/10 12:56:27
Adams County,43975,0,17,17,2,9,0,5,1,0,0,2021/05/10 12:56:27
Adams County,43982,0,14,14,5,4,5,0,0,0,0,2021/05/10 12:56:27
Adams County,43989,0,12,12,1,2,2,5,1,0,1,2021/05/10 12:56:27
Adams County,43996,0,13,13,1,4,2,5,1,0,0,2021/05/10 12:56:27
Adams County,44003,0,29,29,0,13,5,8,3,0,0,2021/05/10 12:56:27
Adams County,44010,0,54,54,14,9,9,18,3,1,0,2021/05/10 12:56:27
Adams County,44017,0,58,58,17,22,9,7,1,2,0,2021/05/10 12:56:27
Adams County,44024,0,66,66,14,18,17,11,4,2,0,2021/05/10 12:56:27
Adams County,44031,0,52,52,13,10,8,6,5,10,0,2021/05/10 12:56:27
Adams County,44038,0,34,34,6,7,8,9,1,3,0,2021/05/10 12:56:27
Adams County,44045,0,58,58,6,19,19,10,3,1,0,2021/05/10 12:56:27
Adams County,44052,0,53,53,13,11,12,8,7,2,0,2021/05/10 12:56:27
Adams County,44059,0,60,60,14,17,15,8,5,0,1,2021/05/10 12:56:27
Adams County,44066,0,64,64,9,23,12,14,5,1,0,2021/05/10 12:56:27
Adams County,44073,0,92,92,16,23,18,23,10,2,0,2021/05/10 12:56:27
Adams County,44080,0,49,49,6,17,16,7,1,2,0,2021/05/10 12:56:27
Adams County,44087,0,44,44,10,10,9,11,2,2,0,2021/05/10 12:56:27
Adams County,44094,0,40,40,1,17,10,11,1,0,0,2021/05/10 12:56:27
Adams County,44101,0,16,16,4,3,3,2,4,0,0,2021/05/10 12:56:27
Adams County,44108,0,20,20,1,7,3,1,5,3,0,2021/05/10 12:56:27
Adams County,44115,0,17,17,3,3,4,3,3,1,0,2021/05/10 12:56:27
Adams County,44122,0,11,11,4,6,1,0,0,0,0,2021/05/10 12:56:27
Adams County,44129,0,36,36,10,11,9,6,0,0,0,2021/05/10 12:56:27
Adams County,44136,2,82,84,15,15,21,23,9,1,0,2021/05/10 12:56:27
Adams County,44143,3,145,148,31,43,33,26,11,4,0,2021/05/10 12:56:27
Adams County,44150,11,135,146,23,45,43,20,15,0,0,2021/05/10 12:56:27
Adams County,44157,19,49,68,9,28,20,11,0,0,0,2021/05/10 12:56:27
Adams County,44164,16,83,99,19,31,31,14,3,1,0,2021/05/10 12:56:27
Adams County,44171,25,52,77,20,20,23,9,4,0,1,2021/05/10 12:56:27
Adams County,44178,10,47,57,11,13,16,7,9,1,0,2021/05/10 12:56:27
Adams County,44185,9,18,27,10,5,0,5,6,1,0,2021/05/10 12:56:27
Adams County,44192,16,30,46,7,15,16,5,3,0,0,2021/05/10 12:56:27
Adams County,44199,3,39,42,12,9,11,3,6,1,0,2021/05/10 12:56:27
Adams County,44206,7,22,29,5,10,7,4,3,0,0,2021/05/10 12:56:27
Adams County,44213,4,28,32,3,12,7,7,3,0,0,2021/05/10 12:56:27
Adams County,44220,15,36,51,15,9,7,13,5,2,0,2021/05/10 12:56:27
Adams County,44227,5,34,39,7,11,9,6,5,1,0,2021/05/10 12:56:27
Adams County,44234,4,34,38,14,10,8,6,0,0,0,2021/05/10 12:56:27
Adams County,44241,3,6,9,2,1,2,3,0,1,0,2021/05/10 12:56:27
Adams County,44248,2,5,7,1,2,3,0,1,0,0,2021/05/10 12:56:27
Adams County,44255,1,7,8,1,2,3,1,1,0,0,2021/05/10 12:56:27
Adams County,44262,0,9,9,3,0,3,0,3,0,0,2021/05/10 12:56:27
Adams County,44269,0,11,11,2,2,4,1,2,0,0,2021/05/10 12:56:27
Adams County,44276,2,19,21,7,8,5,1,0,0,0,2021/05/10 12:56:27
Adams County,44283,1,10,11,6,2,3,0,0,0,0,2021/05/10 12:56:27
Adams County,44290,1,15,16,6,6,4,0,0,0,0,2021/05/10 12:56:27
Adams County,44297,7,14,21,5,4,8,3,1,0,0,2021/05/10 12:56:27
