County,WeekStartDate,Deaths,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,44024,2,0,0,0,0,1,1,0,2021/05/10 12:56:27
Adams County,44031,3,0,0,0,0,1,2,0,2021/05/10 12:56:27
Adams County,44045,3,0,0,1,0,1,1,0,2021/05/10 12:56:27
Adams County,44066,3,0,0,0,1,1,1,0,2021/05/10 12:56:27
Adams County,44080,1,0,0,0,1,0,0,0,2021/05/10 12:56:27
Adams County,44087,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Adams County,44136,2,0,0,0,1,1,0,0,2021/05/10 12:56:27
Adams County,44150,3,0,0,0,0,3,0,0,2021/05/10 12:56:27
Adams County,44178,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Adams County,44192,1,0,0,0,1,0,0,0,2021/05/10 12:56:27
Adams County,44199,2,0,0,0,0,1,1,0,2021/05/10 12:56:27
Asotin County,43919,1,0,0,0,0,1,0,0,2021/05/10 12:56:27
Asotin County,43926,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Asotin County,44080,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Asotin County,44094,2,0,0,0,0,1,1,0,2021/05/10 12:56:27
Asotin County,44108,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Asotin County,44115,2,0,0,0,1,0,1,0,2021/05/10 12:56:27
Asotin County,44122,2,0,0,0,0,2,0,0,2021/05/10 12:56:27
Asotin County,44129,2,0,0,0,0,0,2,0,2021/05/10 12:56:27
Asotin County,44136,1,0,0,0,0,1,0,0,2021/05/10 12:56:27
Asotin County,44143,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Asotin County,44150,6,0,0,0,0,4,2,0,2021/05/10 12:56:27
Asotin County,44157,3,0,0,0,0,2,1,0,2021/05/10 12:56:27
Asotin County,44164,4,0,0,0,2,0,2,0,2021/05/10 12:56:27
Asotin County,44185,1,0,0,0,1,0,0,0,2021/05/10 12:56:27
Benton County,43898,3,0,0,0,0,2,1,0,2021/05/10 12:56:27
Benton County,43905,4,0,0,0,0,1,3,0,2021/05/10 12:56:27
Benton County,43912,21,0,0,0,1,7,13,0,2021/05/10 12:56:27
Benton County,43919,8,0,0,0,1,1,6,0,2021/05/10 12:56:27
Benton County,43926,4,0,0,1,0,3,0,0,2021/05/10 12:56:27
Benton County,43933,3,0,0,0,0,1,2,0,2021/05/10 12:56:27
Benton County,43940,8,0,0,0,0,4,4,0,2021/05/10 12:56:27
Benton County,43947,11,0,0,0,1,5,5,0,2021/05/10 12:56:27
Benton County,43954,5,0,0,0,0,3,2,0,2021/05/10 12:56:27
Benton County,43961,4,0,0,0,1,2,1,0,2021/05/10 12:56:27
Benton County,43968,3,0,0,0,0,1,2,0,2021/05/10 12:56:27
Benton County,43982,3,0,0,0,0,2,1,0,2021/05/10 12:56:27
Benton County,43989,1,0,0,0,0,0,1,0,2021/05/10 12:56:27
Benton County,43996,10,0,0,0,1,3,6,0,2021/05/10 12:56:27
Benton County,44003,5,0,0,1,0,1,3,0,2021/05/10 12:56:27
Benton County,44010,9,0,0,0,4,2,3,0,2021/05/10 12:56:27
Benton County,44017,7,0,0,1,1,3,2,0,2021/05/10 12:56:27
